original_query,obfuscated_query
what slows down the flow of blood,what slows down the pumping of saliva
what slows down the flow of blood,what slows down the increase of body
what slows down the flow of blood,what slows down the facilitate of patient
what slows down the flow of blood,what slows down the pumping of saliva
what slows down the flow of blood,what slows down the trickle of causes
what slows down the flow of blood,what slows down the trickle of infection
what slows down the flow of blood,what slows down the decrease of breath
what slows down the flow of blood,what slows down the water of skin
what slows down the flow of blood,what slows down the traffic of stains
what slows down the flow of blood,what slows down the generate of saliva
