original_query,obfuscated_query
what slows down the flow of blood,what slows down the result of furthermore
what slows down the flow of blood,what slows down the conversely of transfusion
what slows down the flow of blood,what slows down the stream of bleeding
what slows down the flow of blood,what slows down the stream of taken
what slows down the flow of blood,what slows down the hence of transfusion
what slows down the flow of blood,what slows down the resulting of samples
what slows down the flow of blood,what slows down the stream of transfusion
what slows down the flow of blood,what slows down the moreover of actually
what slows down the flow of blood,what slows down the stream of transfusion
what slows down the flow of blood,what slows down the stream of bleeding
