original_query,obfuscated_query
what slows down the flow of blood,what slows down the traffic of kidney
what slows down the flow of blood,what slows down the pressure of doctors
what slows down the flow of blood,what slows down the decrease of tests
what slows down the flow of blood,what slows down the downstream of brain
what slows down the flow of blood,what slows down the water of cells
what slows down the flow of blood,what slows down the water of medication
what slows down the flow of blood,what slows down the pumping of liver
what slows down the flow of blood,what slows down the resulting of cells
what slows down the flow of blood,what slows down the drainage of sample
what slows down the flow of blood,what slows down the upstream of liver
