query_id,original_query,obfuscated_query_distance,obfuscated_query_angle,obfuscated_query_product
156493,do goldfish grow,do srivalo grow,do auratus grow,do alligators grow
1110199,what is wifi vs bluetooth,what is wrldcom bluetooth bluetooth,what is connectivity wimax bluetooth,what is connectivity wireless bluetooth
1063750,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1
130510,definition declaratory judgment,tihg implies tihg,defines judgment vindication,defines judgment counterclaim
489204,right pelvic pain causes,hand go stress spine,pelvis want hand hand,abdomen abdomen disease go
573724,what are the social determinants of health,what are the education education of example,what are the medical economic of etiology,what are the wellbeing cultural of political
168216,does legionella pneumophila cause pneumonia,does legionella pneumophila causing likely,does legionella pneumophila result result,does legionella pneumophila causing result
1133167,how is the weather in jamaica,how is the conditions in meteorologists,how is the rainy in bahamas,how is the conditions in temperatures
527433,types of dysarthria from cerebral palsy,example of brain from ooooooooooooooooooooooooooooooooooooooo sandberger,brain of variety from dysphagia nepheline,dysphagia of edema from specific specific
1037798,who is robert gray,who is rohsh rohsh,who is blue thomas,who is henry john
915593,what types of food can you cook sous vide,what types of meals can you cook meals bulletinyyy,what types of eat can you cook meat chef,what types of eat can you cook eat eating
264014,how long is life cycle of flea,how even is indeed indeed of time,how time is time years of even,how though is way bites of still
1121402,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce,what can contour plowing reduce
962179,when was the salvation army founded,when was the troops kuhdz founded,when was the liberation troops founded,when was the liberation deliverance founded
1117099,what is a active margin,what is a engaged actively,what is a activities inactive,what is a engaged focused
148538,difference between rn and bsn,example between indeed and example,reason between obvious and mean,differences between mh and obvious
451602,medicare's definition of mechanical ventilation,define 's define of hmos srivalo,defining 's implies of beneficiaries premiums,hmo 's defining of hmo hmos
359349,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid,how to find the midsegment of a trapezoid
1115776,what is an aml surveillance analyst,what is an bulletinyyy ooooooooooooooooooooooooooooooooooooooo ooooooooooooooooooooooooooooooooooooooo,what is an mandalam leukemia lymphocytic,what is an qanun analysts mandalam
1112341,what is the daily life of thai people,what is the newspapers interview of times thais,what is the editorial thaksin of times even,what is the newspapers editorial of much news
131843,definition of a sigmet,definition of a sigmet,definition of a sigmet,definition of a sigmet
104861,cost of interior concrete flooring,tehf of building paying tehf,expenses of slabs pay reinforced,expense of minister expense expensive
833860,what is the most popular food in switzerland,what is the most eat although in well,what is the most meals especially in especially,what is the most many zurich in favorite
207786,how are some sharks warm blooded,how are some dolphins warm blooded,how are some predators warm blooded,how are some predators warm blooded
1114819,what is durable medical equipment consist of,what is comprised surprisingly components surprisingly of,what is health nondurable consumer consumer of,what is solid appliances consumer equipped of
183378,exons definition biology,defining naborsind genetics,encodes physics encodes,nucleotides encodes nucleotides
1106007,define visceral?,define sensual ?,define palpable ?,define palpable ?
1124210,tracheids are part of _____.,tracheids are part of _____ .,tracheids are part of _____ .,tracheids are part of _____ .
490595,rsa definition key,hnkj pyoot define,nzl sundowns nzl,interpretation interpretation sundowns
1103812,who formed the commonwealth of independent states,who formed the prohertrib of piyanart wrldcom,who formed the observer of separate medal,who formed the independence of nations establish
87181,causes of left ventricular hypertrophy,ventricle of hypertrophy went causing,went of ventricles causing resulting,causing of disease causing went
443396,lps laws definition,drohs define piyanart,albums albums rules,defining enforce vinyl
1121709,what are the three percenters?,what are the three skaht ?,what are the three skandhas ?,what are the three tứ ?
87452,causes of military suicide,causing of furthermore resulting,soldiers of disease civilian,civilian of resulting illness
855410,what is theraderm used for,what is theraderm used for,what is theraderm used for,what is theraderm used for
1114646,what is famvir prescribed for,what is medication bluhnt for,what is zoladex tiazac for,what is prescriptions casstel for
19335,anthropological definition of environment,philological anthropology of ethnographic,ethnology philological of defines,anthropology anthropology of ethnographic
47923,axon terminals or synaptic knob definition,lastly lastly or uniph dendrites ooooooooooooooooooooooooooooooooooooooo,seaports pipelines or presynaptic airports synapse,container presynaptic or presynaptic dendrites presynaptic
405717,is cdg airport in main paris,is skaht flights in fahnt localweather,is crownpoint pučnik in plane crownpoint,is principal leading in tsubame dinosauria
182539,example of monotonic function,addition of addition particular,particular of particular fact,particular of therefore similar
1113437,what is physical description of spruce,what is sitka kind of addition,what is explanation emotional of fitness,what is fitness fitness of experience
1129237,hydrogen is a liquid below what temperature,mixtures is a colorless below what nitrogen,oxygen is a nitrogen below what sulfide,propellant is a oxygen below what oxygen
146187,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger,difference between a mcdouble and a double cheeseburger
